Date,Cboe
2016-05-09,14.56999969
2016-05-10,13.63000011
2016-05-11,14.68999958
2016-05-12,14.40999985
2016-05-13,15.03999996
2016-05-16,14.68000031
2016-05-17,15.56999969
2016-05-18,15.94999981
2016-05-19,16.32999992
2016-05-20,15.19999981
2016-05-23,15.81999969
2016-05-24,14.42000008
2016-05-25,13.89999962
2016-05-26,13.43000031
2016-05-27,13.11999989
2016-05-31,14.18999958
2016-06-01,14.19999981
2016-06-02,13.63000011
2016-06-03,13.47000027
2016-06-06,13.64999962
2016-06-07,14.05000019
2016-06-08,14.07999992
2016-06-09,14.64000034
2016-06-10,17.03000069
2016-06-13,20.96999931
2016-06-14,20.5
2016-06-15,20.13999939
2016-06-16,19.37000084
2016-06-17,19.40999985
2016-06-20,18.37000084
2016-06-21,18.47999954
2016-06-22,21.17000008
2016-06-23,17.25
2016-06-24,25.76000023
2016-06-27,23.85000038
2016-06-28,18.75
2016-06-29,16.63999939
2016-06-30,15.63000011
2016-07-01,14.77000046
2016-07-05,15.57999992
2016-07-06,14.96000004
2016-07-07,14.76000023
2016-07-08,13.19999981
2016-07-11,13.53999996
2016-07-12,13.55000019
2016-07-13,13.03999996
2016-07-14,12.81999969
2016-07-15,12.67000008
2016-07-18,12.43999958
2016-07-19,11.97000027
2016-07-20,11.77000046
2016-07-21,12.73999977
2016-07-22,12.02000046
2016-07-25,12.86999989
2016-07-26,13.05000019
2016-07-27,12.82999992
2016-07-28,12.72000027
2016-07-29,11.86999989
2016-08-01,12.43999958
2016-08-02,13.36999989
2016-08-03,12.85999966
2016-08-04,12.42000008
2016-08-05,11.39000034
2016-08-08,11.5
2016-08-09,11.65999985
2016-08-10,12.05000019
2016-08-11,11.68000031
2016-08-12,11.55000019
2016-08-15,11.81000042
2016-08-16,12.64000034
2016-08-17,12.18999958
2016-08-18,11.43000031
2016-08-19,11.34000015
2016-08-22,12.27000046
2016-08-23,12.38000011
2016-08-24,13.44999981
2016-08-25,13.63000011
2016-08-26,13.64999962
2016-08-29,12.93999958
2016-08-30,13.11999989
2016-08-31,13.42000008
2016-09-01,13.47999954
2016-09-02,11.97999954
2016-09-06,12.02000046
2016-09-07,11.93999958
2016-09-08,12.51000023
2016-09-09,17.5
2016-09-12,15.15999985
2016-09-13,17.85000038
2016-09-14,18.13999939
2016-09-15,16.29999924
2016-09-16,15.36999989
2016-09-19,15.52999973
2016-09-20,15.92000008
2016-09-21,13.30000019
2016-09-22,12.02000046
2016-09-23,12.28999996
2016-09-26,14.5
2016-09-27,13.10000038
2016-09-28,12.39000034
2016-09-29,14.02000046
2016-09-30,13.28999996
2016-10-03,13.56999969
2016-10-04,13.63000011
2016-10-05,12.98999977
2016-10-06,12.84000015
2016-10-07,13.47999954
2016-10-11,15.35999966
2016-10-12,15.90999985
2016-10-13,16.69000053
2016-10-14,16.12000084
2016-10-17,16.20999908
2016-10-18,15.27999973
2016-10-19,14.40999985
2016-10-20,13.75
2016-10-21,13.34000015
2016-10-24,13.02000046
2016-10-25,13.46000004
2016-10-26,14.23999977
2016-10-27,15.35999966
2016-10-28,16.19000053
2016-10-31,17.05999947
2016-11-01,18.55999947
2016-11-02,19.31999969
2016-11-03,22.07999992
2016-11-04,22.51000023
2016-11-07,18.70999908
2016-11-08,18.73999977
2016-11-09,14.38000011
2016-11-10,14.73999977
2016-11-14,14.47999954
2016-11-15,13.36999989
2016-11-16,13.72000027
2016-11-17,13.35000038
2016-11-18,12.85000038
2016-11-21,12.42000008
2016-11-22,12.40999985
2016-11-23,12.43000031
2016-11-25,12.34000015
2016-11-28,13.14999962
2016-11-29,12.89999962
2016-11-30,13.32999992
2016-12-01,14.06999969
2016-12-02,14.11999989
2016-12-05,12.14000034
2016-12-06,11.78999996
2016-12-07,12.22000027
2016-12-08,12.64000034
2016-12-09,11.75
2016-12-12,12.64000034
2016-12-13,12.72000027
2016-12-14,13.18999958
2016-12-15,12.78999996
2016-12-16,12.19999981
2016-12-19,11.71000004
2016-12-20,11.44999981
2016-12-21,11.27000046
2016-12-22,11.43000031
2016-12-23,11.43999958
2016-12-27,11.98999977
2016-12-28,12.94999981
2016-12-29,13.36999989
2016-12-30,14.03999996
2017-01-03,12.85000038
2017-01-04,11.85000038
2017-01-05,11.67000008
2017-01-06,11.31999969
2017-01-09,11.56000042
2017-01-10,11.48999977
2017-01-11,11.26000023
2017-01-12,11.53999996
2017-01-13,11.22999954
2017-01-17,11.86999989
2017-01-18,12.47999954
2017-01-19,12.77999973
2017-01-20,11.53999996
