Date,Dollar
2016-10-11,97.69999695
2016-10-12,97.97000122
2016-10-13,97.51999664
2016-10-14,98.01999664
2016-10-17,97.88999939
2016-10-18,97.90000153
2016-10-19,97.87000275
2016-10-20,98.31999969
2016-10-21,98.69999695
2016-10-24,98.66999817
2016-10-25,98.72000122
2016-10-26,98.62999725
2016-10-27,98.88999939
2016-10-28,98.34999847
2016-10-31,98.44999695
2016-11-01,97.69999695
2016-11-02,97.40000153
2016-11-03,97.16000366
2016-11-04,97.06999969
2016-11-07,97.77999878
2016-11-08,97.86000061
2016-11-09,98.5
2016-11-10,98.79000092
2016-11-14,100.1100006
2016-11-15,100.1900024
2016-11-16,100.4100037
2016-11-17,100.8899994
2016-11-18,101.2099991
2016-11-21,101.0500031
2016-11-22,101.0400009
2016-11-23,101.6999969
2016-11-25,101.4899979
2016-11-28,101.3300018
2016-11-29,100.9300003
2016-11-30,101.5
2016-12-01,101.0400009
2016-12-02,100.7699966
2016-12-05,100.1399994
2016-12-06,100.4899979
2016-12-07,100.2300034
2016-12-08,101.0699997
2016-12-09,101.5699997
2016-12-12,100.9599991
2016-12-13,101.0299988
2016-12-14,102.0
2016-12-15,103.1299973
2016-12-16,102.9499969
2016-12-19,103.1399994
2016-12-20,103.2900009
2016-12-21,103.0199966
2016-12-22,103.0899963
2016-12-23,103.0100021
2016-12-27,103.0199966
2016-12-28,103.2600021
2016-12-29,102.6800003
2016-12-30,102.3899994
2017-01-03,103.2099991
2017-01-04,102.6999969
2017-01-05,101.5199966
2017-01-06,102.2200012
2017-01-09,101.9300003
2017-01-10,102.0100021
2017-01-11,101.7799988
2017-01-12,101.3499985
2017-01-13,101.1800003
2017-01-17,100.3300018
2017-01-18,100.9300003
2017-01-19,101.1500015
2017-01-20,100.7399979
2017-01-23,100.1600037
2017-01-24,100.3499985
2017-01-25,100.0299988
2017-01-26,100.3799973
2017-01-27,100.5299988
2017-01-30,100.4300003
2017-01-31,99.51000214
2017-02-01,99.63999939
2017-02-02,99.84999847
2017-02-03,99.87000275
2017-02-06,99.91000366
2017-02-07,100.2600021
2017-02-08,100.2799988
2017-02-09,100.6500015
2017-02-10,100.8000031
2017-02-13,100.9599991
2017-02-14,101.25
2017-02-15,101.1800003
2017-02-16,100.4400024
