Date,Gold
5/2/2016,1294.699951
5/3/2016,1290.699951
5/4/2016,1273.300049
5/5/2016,1271.400024
5/6/2016,1292.900024
5/9/2016,1265.599976
5/10/2016,1263.900024
5/11/2016,1274.599976
5/12/2016,1270.300049
5/13/2016,1271.900024
5/16/2016,1273.400024
5/17/2016,1276.199951
5/18/2016,1273.699951
5/19/2016,1254.199951
5/20/2016,1252.400024
5/23/2016,1251.099976
5/24/2016,1228.900024
5/25/2016,1223.5
5/26/2016,1220.099976
5/27/2016,1213.800049
5/31/2016,1214.800049
6/1/2016,1211.900024
6/2/2016,1209.800049
6/3/2016,1240.099976
6/6/2016,1244.599976
6/7/2016,1244.400024
6/8/2016,1259.800049
6/9/2016,1270.199951
6/10/2016,1273.400024
6/13/2016,1284.400024
6/14/2016,1285.599976
6/15/2016,1285.800049
6/16/2016,1296.099976
6/17/2016,1292.5
6/20/2016,1290.0
6/21/2016,1270.5
6/22/2016,1268.0
6/23/2016,1261.199951
6/24/2016,1320.0
6/27/2016,1322.5
6/28/2016,1315.300049
6/29/2016,1323.900024
6/30/2016,1318.400024
7/1/2016,1336.699951
7/5/2016,1356.400024
7/6/2016,1364.900024
7/7/2016,1360.099976
7/8/2016,1356.599976
7/11/2016,1355.0
7/12/2016,1334.099976
7/13/2016,1342.400024
7/14/2016,1331.300049
7/15/2016,1326.5
7/18/2016,1328.400024
7/19/2016,1331.5
7/20/2016,1318.800049
7/21/2016,1330.5
7/22/2016,1323.099976
7/25/2016,1319.300049
7/26/2016,1320.699951
7/27/2016,1326.599976
7/28/2016,1332.300049
7/29/2016,1349.0
8/1/2016,1351.400024
8/2/2016,1364.400024
8/3/2016,1356.099976
8/4/2016,1358.800049
8/5/2016,1336.400024
8/8/2016,1333.400024
8/9/2016,1339.0
8/10/2016,1344.300049
8/11/2016,1342.5
8/12/2016,1335.800049
8/15/2016,1340.300049
8/16/2016,1350.5
8/17/2016,1342.699951
8/18/2016,1351.199951
8/19/2016,1340.400024
8/22/2016,1337.699951
8/23/2016,1340.599976
8/24/2016,1324.400024
8/25/2016,1320.099976
8/26/2016,1321.5
8/29/2016,1322.900024
8/30/2016,1311.699951
8/31/2016,1306.900024
9/1/2016,1312.199951
9/2/2016,1322.099976
9/6/2016,1349.400024
9/7/2016,1344.300049
9/8/2016,1336.800049
9/9/2016,1330.099976
9/12/2016,1321.0
9/13/2016,1319.0
9/14/2016,1321.5
9/15/2016,1313.5
9/16/2016,1305.800049
9/19/2016,1313.5
9/20/2016,1313.699951
9/21/2016,1326.900024
9/22/2016,1340.400024
9/23/2016,1337.199951
9/26/2016,1339.699951
9/27/2016,1325.900024
9/28/2016,1319.400024
9/29/2016,1321.699951
9/30/2016,1313.300049
10/3/2016,1309.0
10/4/2016,1266.300049
10/5/2016,1265.199951
10/6/2016,1249.800049
10/7/2016,1248.900024
10/11/2016,1253.0
10/12/2016,1251.099976
10/13/2016,1255.0
10/14/2016,1253.099976
10/17/2016,1254.400024
10/18/2016,1260.800049
10/19/2016,1267.900024
10/20/2016,1265.599976
10/21/2016,1265.900024
10/24/2016,1262.0
10/25/2016,1271.900024
10/26/2016,1264.800049
10/27/2016,1267.900024
10/28/2016,1275.5
10/31/2016,1271.5
11/1/2016,1286.400024
11/2/2016,1306.800049
11/3/2016,1302.099976
11/4/2016,1303.300049
11/7/2016,1278.300049
11/8/2016,1273.400024
11/9/2016,1272.599976
11/10/2016,1265.5
11/14/2016,1221.199951
11/15/2016,1224.0
11/16/2016,1223.400024
11/17/2016,1216.5
11/18/2016,1208.5
11/21/2016,1209.599976
11/22/2016,1211.0
11/23/2016,1189.099976
11/25/2016,1178.199951
11/28/2016,1190.599976
11/29/2016,1187.900024
11/30/2016,1170.800049
12/1/2016,1166.900024
12/2/2016,1175.099976
12/5/2016,1174.0
12/6/2016,1167.599976
12/7/2016,1175.0
12/8/2016,1169.800049
12/9/2016,1159.400024
12/12/2016,1163.5
12/13/2016,1156.699951
12/14/2016,1161.300049
12/15/2016,1127.800049
12/16/2016,1135.300049
12/19/2016,1140.5
12/20/2016,1131.5
12/21/2016,1131.099976
12/22/2016,1128.800049
12/23/2016,1131.900024
12/27/2016,1137.300049
12/28/2016,1139.400024
12/29/2016,1156.400024
12/30/2016,1150.0
1/3/2017,1160.400024
1/4/2017,1163.800049
1/5/2017,1179.699951
1/6/2017,1171.900024
1/9/2017,1183.5
1/10/2017,1184.199951
1/11/2017,1195.599976
1/12/2017,1198.900024
1/13/2017,1195.300049
1/17/2017,1212.0
1/18/2017,1211.300049
1/19/2017,1200.900024
1/20/2017,1204.300049
1/23/2017,1215.0
1/24/2017,1210.300049
1/25/2017,1197.300049
1/26/2017,1189.5
1/27/2017,1188.099976
1/30/2017,1193.199951
