Date,Int_rate
8/3/2018,2.953000069
8/6/2018,2.937999964
8/7/2018,2.97300005
8/8/2018,2.970999956
8/9/2018,2.934999943
8/10/2018,2.857000113
8/13/2018,2.877000093
8/14/2018,2.894999981
8/15/2018,2.851999998
8/16/2018,2.871000051
8/17/2018,2.872999907
8/20/2018,2.822999954
8/21/2018,2.844000101
8/22/2018,2.822999954
8/23/2018,2.821000099
8/24/2018,2.825999975
8/27/2018,2.84800005
8/28/2018,2.884000063
8/29/2018,2.884000063
8/30/2018,2.859999895
8/31/2018,2.852999926
9/4/2018,2.90199995
9/5/2018,2.90199995
9/6/2018,2.878999949
9/7/2018,2.941999912
9/10/2018,2.937000036
9/11/2018,2.976999998
9/12/2018,2.963000059
9/13/2018,2.963000059
9/14/2018,2.993999958
9/17/2018,3.000999928
9/18/2018,3.048000097
9/19/2018,3.082999945
9/20/2018,3.078000069
9/21/2018,3.068000078
9/24/2018,3.078000069
9/25/2018,3.101999998
9/26/2018,3.061000109
9/27/2018,3.055999994
9/28/2018,3.055999994
10/1/2018,3.079999924
10/2/2018,3.055999994
10/3/2018,3.161000013
10/4/2018,3.197000027
10/5/2018,3.224999905
10/8/2018,3.23300004
10/9/2018,3.207999945
10/10/2018,3.224999905
10/11/2018,3.132999897
10/12/2018,3.141000032
10/15/2018,3.163000107
10/16/2018,3.155999899
10/17/2018,3.178999901
10/18/2018,3.174999952
10/19/2018,3.197999954
10/22/2018,3.196000099
10/23/2018,3.165999889
10/24/2018,3.124000072
10/25/2018,3.135999918
10/26/2018,3.076999903
10/29/2018,3.086999893
10/30/2018,3.109999895
10/31/2018,3.15899992
11/1/2018,3.144000053
11/2/2018,3.213999987
11/5/2018,3.200999975
11/6/2018,3.213999987
11/7/2018,3.213000059
11/8/2018,3.233999968
11/9/2018,3.188999891
11/12/2018,3.186000109
11/13/2018,3.144999981
11/14/2018,3.119999886
11/15/2018,3.118000031
11/16/2018,3.073999882
11/19/2018,3.056999922
11/20/2018,3.048000097
11/21/2018,3.061000109
11/23/2018,3.053999901
11/26/2018,3.072000027
11/27/2018,3.055000067
11/28/2018,3.04399991
11/29/2018,3.035000086
11/30/2018,3.013000011
12/3/2018,2.992000103
12/4/2018,2.924000025
12/6/2018,2.875999928
12/7/2018,2.849999905
12/10/2018,2.855999947
12/11/2018,2.878999949
12/12/2018,2.905999899
12/13/2018,2.911000013
12/14/2018,2.891000032
12/17/2018,2.857000113
12/18/2018,2.825000048
12/19/2018,2.778000116
12/20/2018,2.789000034
12/21/2018,2.792000055
12/24/2018,2.749000072
12/26/2018,2.796999931
12/27/2018,2.743000031
