Date,Cpi
9/15/2017,246.435
9/18/2017,246.435
9/19/2017,246.435
9/20/2017,246.435
9/21/2017,246.435
9/22/2017,246.435
9/25/2017,246.435
9/26/2017,246.435
9/27/2017,246.435
9/28/2017,246.435
9/29/2017,246.435
10/2/2017,246.626
10/3/2017,246.626
10/4/2017,246.626
10/5/2017,246.626
10/6/2017,246.626
10/9/2017,246.626
10/10/2017,246.626
10/11/2017,246.626
10/12/2017,246.626
10/13/2017,246.626
10/16/2017,246.626
10/17/2017,246.626
10/18/2017,246.626
10/19/2017,246.626
10/20/2017,246.626
10/23/2017,246.626
10/24/2017,246.626
10/25/2017,246.626
10/26/2017,246.626
10/27/2017,246.626
10/30/2017,246.626
10/31/2017,246.626
11/1/2017,247.284
11/2/2017,247.284
11/3/2017,247.284
11/6/2017,247.284
11/7/2017,247.284
11/8/2017,247.284
11/9/2017,247.284
11/10/2017,247.284
11/13/2017,247.284
11/14/2017,247.284
11/15/2017,247.284
11/16/2017,247.284
11/17/2017,247.284
11/20/2017,247.284
11/21/2017,247.284
11/22/2017,247.284
11/24/2017,247.284
11/27/2017,247.284
11/28/2017,247.284
11/29/2017,247.284
11/30/2017,247.284
12/1/2017,247.805
12/4/2017,247.805
12/5/2017,247.805
12/6/2017,247.805
12/7/2017,247.805
12/8/2017,247.805
12/11/2017,247.805
12/12/2017,247.805
12/13/2017,247.805
12/14/2017,247.805
12/15/2017,247.805
12/18/2017,247.805
12/19/2017,247.805
12/20/2017,247.805
12/21/2017,247.805
12/22/2017,247.805
12/26/2017,247.805
12/27/2017,247.805
12/28/2017,247.805
12/29/2017,247.805
1/2/2018,248.743
1/3/2018,248.743
1/4/2018,248.743
1/5/2018,248.743
1/8/2018,248.743
1/9/2018,248.743
1/10/2018,248.743
1/11/2018,248.743
1/12/2018,248.743
1/16/2018,248.743
1/17/2018,248.743
1/18/2018,248.743
1/19/2018,248.743
1/22/2018,248.743
1/23/2018,248.743
1/24/2018,248.743
1/25/2018,248.743
1/26/2018,248.743
1/30/2018,248.743
1/31/2018,248.743
2/1/2018,249.439
2/2/2018,249.439
2/5/2018,249.439
2/6/2018,249.439
2/7/2018,249.439
2/8/2018,249.439
2/9/2018,249.439
2/12/2018,249.439
2/13/2018,249.439
2/14/2018,249.439
2/15/2018,249.439
2/16/2018,249.439
2/20/2018,249.439
2/21/2018,249.439
2/22/2018,249.439
2/23/2018,249.439
2/26/2018,249.439
