Date,Jclaim
2018-10-11,221000
2018-10-12,221000
2018-10-15,218000
2018-10-16,218000
2018-10-17,218000
2018-10-18,218000
2018-10-19,218000
2018-10-22,226000
2018-10-23,226000
2018-10-24,226000
2018-10-25,226000
2018-10-26,226000
2018-10-29,225000
2018-10-30,225000
2018-10-31,225000
2018-11-01,225000
2018-11-02,225000
2018-11-05,227000
2018-11-06,227000
2018-11-07,227000
2018-11-08,227000
2018-11-09,227000
2018-11-12,228000
2018-11-13,228000
2018-11-14,228000
2018-11-15,228000
2018-11-16,228000
2018-11-19,234000
2018-11-20,234000
2018-11-21,234000
2018-11-23,234000
2018-11-26,244000
2018-11-27,244000
2018-11-28,244000
2018-11-29,244000
2018-11-30,244000
2018-12-03,240000
2018-12-04,240000
2018-12-06,240000
2018-12-07,240000
2018-12-10,209000
2018-12-11,209000
2018-12-12,209000
2018-12-13,209000
2018-12-14,209000
2018-12-17,219000
2018-12-18,219000
2018-12-19,219000
2018-12-20,219000
2018-12-21,219000
2018-12-24,230000
2018-12-26,230000
2018-12-27,230000
2018-12-28,230000
2018-12-31,237000
2019-01-02,237000
2019-01-03,237000
2019-01-04,237000
2019-01-07,222000
2019-01-08,222000
2019-01-09,222000
2019-01-10,222000
2019-01-11,222000
2019-01-14,211000
2019-01-15,211000
2019-01-16,211000
2019-01-17,211000
2019-01-18,211000
2019-01-22,205000
2019-01-23,205000
2019-01-24,205000
2019-01-25,205000
2019-01-28,227000
2019-01-29,227000
2019-01-30,227000
2019-01-31,227000
2019-02-01,227000
2019-02-04,220000
2019-02-05,220000
2019-02-06,220000
2019-02-07,220000
2019-02-08,220000
2019-02-11,213000
2019-02-12,213000
2019-02-13,213000
2019-02-14,213000
2019-02-15,213000
2019-02-19,199000
2019-02-20,199000
2019-02-21,199000
2019-02-22,199000
2019-02-25,204000
2019-02-26,204000
2019-02-27,204000
2019-02-28,204000
2019-03-01,204000
2019-03-04,200000
2019-03-05,200000
2019-03-06,200000
2019-03-07,200000
2019-03-08,200000
2019-03-11,201000
2019-03-12,201000
2019-03-13,201000
2019-03-14,201000
2019-03-15,201000
2019-03-18,182000
2019-03-19,182000
2019-03-20,182000
2019-03-21,182000
2019-03-22,182000
2019-03-25,184000
2019-03-26,184000
2019-03-27,184000
2019-03-28,184000
2019-03-29,184000
2019-04-01,173000
2019-04-02,173000
2019-04-03,173000
2019-04-04,173000
2019-04-05,173000
2019-04-08,173000
2019-04-09,173000
2019-04-10,173000
2019-04-11,173000
2019-04-12,173000
2019-04-15,183000
2019-04-16,183000
2019-04-17,183000
2019-04-18,183000
2019-04-22,200000
2019-04-23,200000
2019-04-24,200000
2019-04-25,200000
2019-04-26,200000
2019-04-29,210000
2019-04-30,210000
2019-05-01,210000
2019-05-02,210000
2019-05-03,210000
2019-05-06,214000
2019-05-07,214000
2019-05-08,214000
2019-05-09,214000
2019-05-10,214000
2019-05-13,210000
2019-05-14,210000
2019-05-15,210000
2019-05-16,210000
2019-05-17,210000
2019-05-20,213000
2019-05-21,213000
2019-05-22,213000
2019-05-23,213000
2019-05-24,213000
2019-05-28,222000
2019-05-29,222000
2019-05-30,222000
2019-05-31,222000
2019-06-03,229000
2019-06-04,229000
2019-06-05,229000
2019-06-06,229000
2019-06-07,229000
2019-06-10,237000
2019-06-11,237000
2019-06-12,237000
2019-06-13,237000
2019-06-14,237000
2019-06-17,231000
2019-06-18,231000
2019-06-19,231000
2019-06-20,231000
2019-06-21,231000
2019-06-24,242000
2019-06-25,242000
2019-06-26,242000
2019-06-27,242000
2019-06-28,242000
2019-07-01,240000
2019-07-02,240000
