Date,Oil
3/22/2018,64.30000305
3/23/2018,65.87999725
3/26/2018,65.55000305
3/27/2018,65.25
3/28/2018,64.37999725
3/29/2018,64.94000244
4/2/2018,63.00999832
4/3/2018,63.50999832
4/4/2018,63.36999893
4/5/2018,63.54000092
4/6/2018,62.06000137
4/9/2018,63.41999817
4/10/2018,65.51000214
4/11/2018,66.81999969
4/12/2018,67.06999969
4/13/2018,67.38999939
4/16/2018,66.22000122
4/17/2018,66.51999664
4/18/2018,68.47000122
4/19/2018,68.29000092
4/20/2018,68.37999725
4/23/2018,68.63999939
4/24/2018,67.69999695
4/25/2018,68.05000305
4/26/2018,68.19000244
4/27/2018,68.09999847
4/30/2018,68.56999969
5/1/2018,67.25
5/2/2018,67.93000031
5/3/2018,68.43000031
5/4/2018,69.72000122
5/7/2018,70.73000336
5/8/2018,69.05999756
5/9/2018,71.13999939
5/10/2018,71.36000061
5/11/2018,70.69999695
5/14/2018,70.95999908
5/15/2018,71.30999756
5/16/2018,71.48999786
5/17/2018,71.48999786
5/18/2018,71.27999878
5/21/2018,72.23999786
5/22/2018,72.12999725
5/23/2018,71.83999634
5/24/2018,70.70999908
5/25/2018,67.87999725
5/29/2018,66.73000336
5/30/2018,68.20999908
5/31/2018,67.04000092
6/1/2018,65.80999756
6/4/2018,64.75
6/5/2018,65.51999664
6/6/2018,64.73000336
6/7/2018,65.94999695
6/8/2018,65.73999786
6/11/2018,66.09999847
6/12/2018,66.36000061
6/13/2018,66.63999939
6/14/2018,66.88999939
6/15/2018,65.05999756
6/18/2018,65.84999847
6/19/2018,65.06999969
6/20/2018,66.22000122
6/21/2018,65.54000092
6/22/2018,68.58000183
6/25/2018,68.08000183
6/26/2018,70.52999878
6/27/2018,72.76000214
6/28/2018,73.44999695
6/29/2018,74.15000153
7/2/2018,73.94000244
7/3/2018,74.13999939
7/5/2018,72.94000244
7/6/2018,73.80000305
7/9/2018,73.84999847
7/10/2018,74.11000061
7/11/2018,70.37999725
7/12/2018,70.33000183
7/13/2018,71.01000214
7/16/2018,68.05999756
7/17/2018,68.08000183
7/18/2018,68.76000214
7/19/2018,69.45999908
7/20/2018,70.45999908
7/23/2018,67.88999939
7/24/2018,68.51999664
7/25/2018,69.30000305
7/26/2018,69.61000061
7/27/2018,68.69000244
7/30/2018,70.12999725
7/31/2018,68.76000214
8/1/2018,67.66000366
8/2/2018,68.95999908
8/3/2018,68.48999786
8/6/2018,69.01000214
8/7/2018,69.16999817
8/8/2018,66.94000244
8/9/2018,66.80999756
8/10/2018,67.62999725
8/13/2018,67.19999695
8/14/2018,67.04000092
8/15/2018,65.01000214
8/16/2018,65.45999908
8/17/2018,65.91000366
8/20/2018,66.43000031
8/21/2018,67.34999847
8/22/2018,67.86000061
8/23/2018,67.83000183
8/24/2018,68.72000122
8/27/2018,68.87000275
8/28/2018,68.52999878
8/29/2018,69.51000214
8/30/2018,70.25
8/31/2018,69.80000305
9/4/2018,69.87000275
9/5/2018,68.72000122
9/6/2018,67.76999664
9/7/2018,67.75
9/10/2018,67.54000092
9/11/2018,69.25
9/12/2018,70.37000275
9/13/2018,68.58999634
9/14/2018,68.98999786
9/17/2018,68.91000366
9/18/2018,69.84999847
9/19/2018,71.12000275
9/20/2018,70.80000305
9/21/2018,70.77999878
9/24/2018,72.08000183
9/25/2018,72.27999878
9/26/2018,71.56999969
9/27/2018,72.12000275
9/28/2018,73.25
10/1/2018,75.30000305
10/2/2018,75.23000336
10/3/2018,76.41000366
10/4/2018,74.33000183
10/5/2018,74.33999634
10/8/2018,74.29000092
10/9/2018,74.95999908
10/10/2018,73.16999817
10/11/2018,70.97000122
10/12/2018,71.33999634
10/15/2018,71.77999878
10/16/2018,71.91999817
10/17/2018,69.75
10/18/2018,68.65000153
10/19/2018,69.12000275
10/22/2018,69.16999817
10/23/2018,66.43000031
10/24/2018,66.81999969
10/25/2018,67.33000183
10/26/2018,67.58999634
10/29/2018,67.04000092
10/30/2018,66.18000031
10/31/2018,65.30999756
11/1/2018,63.68999863
11/2/2018,63.13999939
11/5/2018,63.09999847
11/6/2018,62.20999908
11/7/2018,61.66999817
11/8/2018,60.66999817
11/9/2018,60.18999863
11/12/2018,59.93000031
11/13/2018,55.68999863
11/14/2018,56.25
11/15/2018,56.45999908
11/16/2018,56.45999908
11/19/2018,56.75999832
11/20/2018,53.43000031
11/21/2018,54.63000107
11/23/2018,50.41999817
11/26/2018,51.63000107
11/27/2018,51.56000137
11/28/2018,50.29000092
11/29/2018,51.45000076
11/30/2018,50.93000031
12/3/2018,52.95000076
12/4/2018,53.25
12/6/2018,51.49000168
12/7/2018,52.61000061
12/10/2018,51.0
12/11/2018,51.65000153
12/12/2018,51.15000153
12/13/2018,52.58000183
12/14/2018,51.20000076
12/17/2018,49.88000107
12/18/2018,46.24000168
12/19/2018,47.20000076
12/20/2018,45.88000107
12/21/2018,45.59000015
12/24/2018,42.52999878
12/26/2018,46.22000122
12/27/2018,44.61000061
12/28/2018,45.33000183
12/31/2018,45.40999985
1/2/2019,46.54000092
1/3/2019,47.09000015
1/4/2019,47.95999908
1/7/2019,48.52000046
